Num, Weight,-,-,-,-,-,-,LearnRate,TrainError
16,-573.679383429949,50.620546889389,-28.4132817746043,-326.521263623328,1.16764417140226,-488.110133648613,-664.894996009449,0.960885203801548,1123798.40308878
17,-421.859521229305,50.620546889389,207.964478360576,-159.327238161858,7.89384059801309,506.406052285989,13.4899578744439,0.960885203801548,346580.261967993
18,-580.40557985656,-93.5122336808432,207.964478360576,-334.20834525374,-3.63678184760548,-476.579511202994,-686.995355696884,0.95610468039955,1115401.66241059
19,-289.749757015097,-93.5122336808432,341.819133616514,-129.601943648236,2.09984623479182,379.134177754603,3.31222355159071,0.95610468039955,271376.564895931
20,-444.638715239824,-235.015726379977,160.159244340599,-300.744681439756,-16.0661426927996,-422.08154442022,-705.161344624476,0.95134794069607,1060910.87543277
21,-311.450003542374,-113.24318997088,316.180306614755,-126.648008292375,-4.64996740444679,406.542511926057,32.1333094149783,0.95134794069607,307187.146908986
22,-457.006238468873,-113.24318997088,88.8081487883938,-316.917596431589,-10.3580550486232,-546.708124651405,-618.588682021134,0.946614866364249,1108606.90188914
23,-324.480157177878,7.92351292374421,244.052986872131,-143.687075886931,1.00132334774777,277.793423951856,115.037839411159,0.946614866364249,252684.66263002
24,-625.503684681709,-111.349960238151,244.052986872131,-342.476197823424,-4.67836585043772,-537.241975987762,-582.617317099292,0.941905339665919,1098580.96448698
25,-273.231087646655,-111.349960238151,244.052986872131,-163.514183286899,1.91497152722371,416.908133093814,104.973580856829,0.941905339665919,363777.618340325
26,-595.3627138124,-239.449086432716,244.052986872131,-375.442884711731,-8.4459872091014,-308.358978448944,-598.629707873613,0.937219243448676,922766.957541806
27,-452.905388808201,-109.17561159335,410.878012205995,-217.990051812353,8.42395917297477,576.375987366606,52.7376663232171,0.937219243448676,430225.306296073
28,-595.3627138124,-109.17561159335,188.757051508659,-409.182777475883,2.80064371228271,-159.341118740605,-783.261898833002,0.932556461142961,935691.529209838
29,-317.460888391797,-9.39207025105334,188.757051508659,-235.727275703292,8.39598247914048,660.376010604058,-23.2283830014884,0.932556461142961,454400.692017057
30,-468.535035096957,-147.410426500212,10.6387674303531,-402.654882247882,-6.5249208991469,-122.971416756029,-716.117833630709,0.927916876759166,848183.774023119
31,-327.491669829564,-18.4299806306876,175.807971493485,-246.764846952343,10.1775828825181,752.982114904623,-71.2156042830886,0.927916876759166,491379.369302917
32,-472.246702603994,-18.4299806306876,-49.6758295589927,-413.789884768992,-0.0295027618327399,-195.348933143244,-718.901584260986,0.923300374884742,912870.645304292
33,-341.13804937036,101.599068104329,104.515333046759,-253.135619539047,10.1268013618994,619.925297879983,5.88921002353629,0.923300374884742,430715.868599605
34,-636.594169333478,101.599068104329,-45.9826280594537,-426.716090017379,1.81709798793674,-179.652826770203,-710.591880887023,0.918706840681335,924364.11484076
35,-502.462970594003,265.128885745607,-45.9826280594537,-250.324376606562,11.9228732354314,703.22444712456,-22.4804572167033,0.918706840681335,437809.139460346
36,-628.325807767346,111.704843351824,-242.585891965259,-457.952122600544,6.41063219134342,52.7800039221745,-717.941535612474,0.914136159881926,757404.365879118
37,-365.968729881233,197.633642380725,-131.975416619546,-286.094524542742,14.6378576302808,879.159092455435,-81.7027683346537,0.914136159881926,554261.944380732
38,-649.35093944463,197.633642380725,-262.696887482662,-485.376207397002,5.4964960314615,159.73393462836,-816.668240879722,0.909588218787986,745113.891448766
39,-517.460647720372,197.633642380725,-56.220361817789,-267.075034887885,10.9540253441894,841.925098719349,-40.7894902535701,0.909588218787986,530115.490709546
40,-765.778231449492,123.04740844011,-151.727124790528,-458.088560833362,2.76773137509754,19.6573489350101,-659.309479029401,0.905062904266653,762227.999729764
41,-449.91127786043,123.04740844011,9.37407216893666,-249.924092852032,8.19810880069745,730.131728784332,-6.75912505314386,0.905062904266653,480747.602344639
42,-698.80357653376,33.4461809177111,-105.568916672928,-416.455667237096,-3.56770895476903,-2.96922367165632,-721.7588194238,0.900560103747913,806162.809824752
43,-568.222361490313,128.90555191499,16.907257436788,-229.13916565753,5.4378920827101,673.351414243027,73.435752185608,0.900560103747913,469307.312768546
44,-857.302154793393,128.90555191499,-130.78459957787,-400.245585369634,0.935091563970535,-110.135876017658,-623.597768115277,0.896079705221804,854811.882230818
45,-712.13724254746,261.525348287817,40.3666241194948,-239.847318134931,15.2723668475194,642.571076368658,42.1894528645237,0.896079705221804,396822.257888927
46,-937.949328263355,193.42329069096,-46.5531072870202,-413.686780947961,8.10372920574497,-105.655477491549,-693.491985122578,0.891621597235626,909252.49462067
47,-693.645010620793,272.777612844931,55.9833763950768,-233.579218306365,16.1283235808656,571.085314810291,43.8790757912852,0.891621597235626,344882.676968382
48,-838.087709372965,140.817616454058,-114.316348676928,-393.179484211542,1.86237802509558,-177.876826867635,-618.595770954785,0.887185668891171,900524.42762838
