Num, Weight,-,-,-,-,-,-,LearnRate,TrainError
15,-5.07427758720121E+106,-1.74317818925548E+106,-2.69597537531439E+106,-4.19916933359216E+106,-1.94476650731968E+105,-1.83907482133364E+107,-1.59698031957894E+107,0.00390625,3.04612387008972E+110
16,1.50902038138025E+112,5.18397224187912E+111,8.01746006034451E+111,1.2487752197949E+112,5.78346818071841E+110,5.46915563956448E+112,4.7491998801685E+112,0.00390625,-9.05875353719E+115
17,-4.48761911875814E+117,-1.54164206334242E+117,-2.38428237912682E+117,-3.71368579280364E+117,-1.7199239122789E+116,-1.62645168444473E+118,-1.41234674123845E+118,0.001953125,2.69394874099901E+121
18,6.67275866000439E+122,2.29230804945004E+122,3.54525205285628E+122,5.52197688321715E+122,2.55740001022716E+121,2.4184137011745E+123,2.10005544123268E+123,0.001953125,-4.00570309453614E+126
19,-9.92190000005731E+127,-3.4084930078911E+127,-5.27152833419196E+127,-8.21077237009987E+127,-3.80266520258096E+126,-3.59600281149777E+128,-3.12262755843071E+128,0.0009765625,5.95618507411769E+131
20,7.37651716199121E+132,2.53407181780612E+132,3.91916056671256E+132,6.10436542405135E+132,2.82712233826014E+131,2.67347750465422E+133,2.32154282699259E+133,0.0009765625,-4.42817418226058E+136
21,-5.48413161197317E+137,-1.8839762801134E+137,-2.91373176314893E+137,-4.53834006725733E+137,-2.10184707032969E+136,-1.98761857055255E+138,-1.72596987527687E+138,0.00048828125,3.29216207092824E+141
22,2.03858367974131E+142,7.00319315691452E+141,1.08310420678656E+142,1.68701020486598E+142,7.81307130837536E+140,7.38845648895964E+142,6.4158453305219E+142,0.00048828125,-1.22377585800552E+146
23,-7.57790606307561E+146,-2.6032554077646E+146,-4.02615895394202E+146,-6.27102286110061E+146,-2.90430660400916E+145,-2.74646705851989E+147,-2.38492408788865E+147,0.000244140625,4.54906933003721E+150
24,1.40840712235375E+151,4.83833321115819E+150,7.48289949659104E+150,1.16551369052371E+151,5.39785802639702E+149,5.10450213334977E+151,4.43254910221481E+151,0.000244140625,-8.45476519658129E+154
25,-2.61762366250775E+155,-8.99238245789256E+154,-1.39074948397799E+155,-2.16618914152674E+155,-1.00322986674057E+154,-9.48707611421864E+155,-8.23820416059406E+155,0.0001220703125,1.57137755754401E+159
26,2.43238793023463E+159,8.35603790870252E+158,1.29233331256154E+159,2.01289910307699E+159,9.32236460902423E+157,8.8157246452055E+159,7.65522892157856E+159,0.0001220703125,-1.46017926853162E+163
27,-2.26026037581084E+163,-7.76472418278763E+162,-1.2008815462431E+163,-1.87045661041051E+163,-8.66266892411616E+161,-8.19188125871641E+163,-7.11350783488558E+163,6.103515625E-05,1.35684990918538E+167
28,1.05004368751371E+167,3.60723910425422E+166,5.57890630911011E+166,8.68953496486113E+166,4.02439511754314E+165,3.805682432269E+167,3.30470510302218E+167,6.103515625E-05,-6.30348475463827E+170
29,-4.87816252272197E+170,-1.67580633245227E+170,-2.59177898962635E+170,-4.03687620901147E+170,-1.86960349102312E+169,-1.76799666863705E+171,-1.53525884436121E+171,3.0517578125E-05,2.92839464283949E+174
30,1.13287416501015E+174,3.89178853872269E+173,6.01898654480551E+173,9.37499056915671E+173,4.34185102264908E+172,4.10588564934757E+174,3.56538978207243E+174,3.0517578125E-05,-6.80072182993987E+177
31,-2.63091659568431E+177,-9.03804797537048E+176,-1.39781205000712E+177,-2.17718957979391E+177,-1.00832451337382E+176,-9.53525380707554E+177,-8.28003977622139E+177,1.52587890625E-05,1.57935739710871E+181
32,3.05362318680098E+180,1.04901815991747E+180,1.62239703595823E+180,2.52699633041423E+180,1.17033094812238E+179,1.10672729667984E+181,9.61038502314342E+180,1.52587890625E-05,-1.83311108226233E+184
33,-3.54424559952391E+183,-1.21756279988271E+183,-1.88306585443489E+183,-2.93300616225228E+183,-1.35836678565924E+182,-1.28454400270643E+184,-1.11544754360115E+184,7.62939453125E-06,2.12763510403952E+187
