T(rees),Training Error,Testing Error
454,0.0136,0.1422
455,0.0136,0.1418
456,0.0136,0.1424
457,0.0136,0.1424
458,0.0136,0.1424
459,0.0136,0.1418
460,0.0136,0.142
461,0.0136,0.1424
462,0.0136,0.1424
463,0.0136,0.1422
464,0.0136,0.143
465,0.0136,0.1428
466,0.0136,0.1428
467,0.0136,0.1432
468,0.0136,0.1432
469,0.0136,0.1434
470,0.0136,0.1434
471,0.0136,0.1428
472,0.0136,0.143
473,0.0136,0.1426
474,0.0136,0.1426
475,0.0136,0.1424
476,0.0136,0.1426
477,0.0136,0.1424
478,0.0136,0.1424
479,0.0136,0.1424
480,0.0136,0.143
481,0.0136,0.143
482,0.0136,0.143
483,0.0136,0.143
484,0.0136,0.1432
485,0.0136,0.1432
486,0.0136,0.1436
487,0.0136,0.1432
488,0.0136,0.1432
489,0.0136,0.143
490,0.0136,0.1434
491,0.0136,0.143
492,0.0136,0.1432
493,0.0136,0.1428
494,0.0136,0.1428
495,0.0136,0.1424
496,0.0136,0.1426
497,0.0136,0.1434
498,0.0136,0.143
499,0.0136,0.1428
500,0.0136,0.1426
501,0.0136,0.1428
502,0.0136,0.1428
503,0.0136,0.1432
504,0.0136,0.1432
505,0.0136,0.1434
506,0.0136,0.1432
507,0.0136,0.1434
508,0.0136,0.143
509,0.0136,0.1436
510,0.0136,0.1434
511,0.0136,0.1434
512,0.0136,0.1438
513,0.0136,0.1438
514,0.0136,0.144
515,0.0136,0.144
516,0.0136,0.1434
517,0.0136,0.1436
518,0.0136,0.1436
519,0.0136,0.1434
520,0.0136,0.1436
521,0.0136,0.1432
522,0.0136,0.1438
523,0.0136,0.1432
524,0.0136,0.143
525,0.0136,0.1434
526,0.0136,0.1438
527,0.0136,0.1434
528,0.0136,0.1432
529,0.0136,0.1434
530,0.0136,0.1432
531,0.0136,0.143
532,0.0136,0.1432
533,0.0136,0.1432
534,0.0136,0.1436
535,0.0136,0.1436
536,0.0136,0.1438
537,0.0136,0.1438
538,0.0136,0.1434
539,0.0136,0.1438
540,0.0136,0.1436
541,0.0136,0.1436
542,0.0136,0.1438
543,0.0136,0.144
544,0.0136,0.1436
545,0.0136,0.1436
546,0.0136,0.1434
547,0.0136,0.1434
548,0.0136,0.1434
549,0.0136,0.1432
550,0.0136,0.1434
551,0.0136,0.1432
552,0.0136,0.1436
553,0.0136,0.143
554,0.0136,0.1434
555,0.0136,0.1434
556,0.0136,0.143
557,0.0136,0.1432
558,0.0136,0.1436
559,0.0136,0.1442
560,0.0136,0.144
561,0.0136,0.1442
562,0.0136,0.1442
563,0.0136,0.1442
564,0.0136,0.1446
565,0.0136,0.1442
566,0.0136,0.1442
567,0.0136,0.1436
568,0.0136,0.1434
569,0.0136,0.1432
570,0.0136,0.1436
571,0.0136,0.1432
572,0.0136,0.1434
573,0.0136,0.1434
574,0.0136,0.1436
575,0.0136,0.143
576,0.0136,0.1436
577,0.0136,0.1436
578,0.0136,0.1438
579,0.0136,0.1434
580,0.0136,0.1438
581,0.0136,0.1434
582,0.0136,0.1438
583,0.0136,0.1442
584,0.0136,0.1442
585,0.0136,0.1438
586,0.0136,0.1438
587,0.0136,0.1436
588,0.0136,0.1438
589,0.0136,0.1434
590,0.0136,0.1436
591,0.0136,0.1436
592,0.0136,0.1438
593,0.0136,0.1434
594,0.0136,0.1434
595,0.0136,0.1432
596,0.0136,0.144
597,0.0136,0.1434
598,0.0136,0.1442
599,0.0136,0.1436
600,0.0136,0.144
601,0.0136,0.1436
602,0.0136,0.1442
603,0.0136,0.1432
604,0.0136,0.1438
605,0.0136,0.1432
606,0.0136,0.1442
607,0.0136,0.1438
608,0.0136,0.1438
609,0.0136,0.1438
610,0.0136,0.1442
611,0.0136,0.1436
612,0.0136,0.1436
613,0.0136,0.1436
614,0.0136,0.144
615,0.0136,0.1436
616,0.0136,0.1438
617,0.0136,0.1438
618,0.0136,0.144
619,0.0136,0.1436
620,0.0136,0.1438
621,0.0136,0.1438
622,0.0136,0.1438
623,0.0136,0.1438
624,0.0136,0.1438
625,0.0136,0.1438
626,0.0136,0.144
627,0.0136,0.1438
628,0.0136,0.144
629,0.0136,0.144
630,0.0136,0.1446
631,0.0136,0.144
632,0.0136,0.1442
633,0.0136,0.144
634,0.0136,0.1448
635,0.0136,0.1442
636,0.0136,0.1448
637,0.0136,0.1444
638,0.0136,0.1448
639,0.0136,0.1446
640,0.0136,0.1446
641,0.0136,0.1446
642,0.0136,0.1446
643,0.0136,0.1448
644,0.0136,0.1448
645,0.0136,0.1448
646,0.0136,0.145
647,0.0136,0.1448
648,0.0136,0.1448
649,0.0136,0.1448
650,0.0136,0.145
651,0.0136,0.145
652,0.0136,0.1456
653,0.0136,0.1452
654,0.0136,0.1452
655,0.0136,0.1446
656,0.0136,0.145
657,0.0136,0.1448
658,0.0136,0.145
659,0.0136,0.1448
660,0.0136,0.1448
661,0.0136,0.1446
662,0.0136,0.1446
663,0.0136,0.1446
664,0.0136,0.1446
665,0.0136,0.1446
666,0.0136,0.145
667,0.0136,0.145
668,0.0136,0.145
669,0.0136,0.1448
670,0.0136,0.1452
671,0.0136,0.1448
672,0.0136,0.145
673,0.0136,0.145
674,0.0136,0.1452
675,0.0136,0.145
676,0.0136,0.1452
677,0.0136,0.1448
678,0.0136,0.1448
679,0.0136,0.1444
680,0.0136,0.1444
681,0.0136,0.1444
682,0.0136,0.1448
683,0.0136,0.1448
684,0.0136,0.1444
685,0.0136,0.1448
686,0.0136,0.1446
687,0.0136,0.1446
688,0.0136,0.1442
689,0.0136,0.1444
690,0.0136,0.1446
691,0.0136,0.1446
692,0.0136,0.1444
693,0.0136,0.1444
694,0.0136,0.1444
695,0.0136,0.1444
696,0.0136,0.1444
697,0.0136,0.1444
698,0.0136,0.1444
699,0.0136,0.1444
700,0.0136,0.1444
701,0.0136,0.1444
702,0.0136,0.1444
703,0.0136,0.1444
704,0.0136,0.1444
705,0.0136,0.1442
706,0.0136,0.1442
707,0.0136,0.1442
708,0.0136,0.1444
709,0.0136,0.1442
710,0.0136,0.1444
711,0.0136,0.144
712,0.0136,0.1444
713,0.0136,0.1442
714,0.0136,0.1442
715,0.0136,0.1442
716,0.0136,0.1444
717,0.0136,0.1442
718,0.0136,0.1444
719,0.0136,0.144
720,0.0136,0.144
721,0.0136,0.144
722,0.0136,0.144
723,0.0136,0.144
724,0.0136,0.144
725,0.0136,0.144
726,0.0136,0.144
727,0.0136,0.1434
728,0.0136,0.1438
729,0.0136,0.1438
730,0.0136,0.1442
731,0.0136,0.1442
732,0.0136,0.1444
733,0.0136,0.1442
734,0.0136,0.1444
735,0.0136,0.1442
736,0.0136,0.1444
737,0.0136,0.1442
738,0.0136,0.1442
739,0.0136,0.1442
740,0.0136,0.1442
741,0.0136,0.144
742,0.0136,0.1444
743,0.0136,0.1444
744,0.0136,0.1444
745,0.0136,0.1444
746,0.0136,0.1444
747,0.0136,0.144
748,0.0136,0.1442
749,0.0136,0.144
750,0.0136,0.1442
751,0.0136,0.1442
752,0.0136,0.1444
753,0.0136,0.144
754,0.0136,0.144
755,0.0136,0.144
756,0.0136,0.144
757,0.0136,0.144
758,0.0136,0.144
759,0.0136,0.1438
760,0.0136,0.1438
761,0.0136,0.1438
762,0.0136,0.1438
763,0.0136,0.1438
764,0.0136,0.1438
765,0.0136,0.1434
766,0.0136,0.1438
767,0.0136,0.1438
768,0.0136,0.1438
769,0.0136,0.1434
770,0.0136,0.1434
771,0.0136,0.1434
772,0.0136,0.1434
773,0.0136,0.1434
774,0.0136,0.1434
775,0.0136,0.1434
776,0.0136,0.1434
777,0.0136,0.1434
778,0.0136,0.1436
779,0.0136,0.1436
780,0.0136,0.1436
781,0.0136,0.1434
782,0.0136,0.1434
783,0.0136,0.1432
784,0.0136,0.1434
785,0.0136,0.1434
786,0.0136,0.1434
787,0.0136,0.1434
788,0.0136,0.1434
789,0.0136,0.1434
790,0.0136,0.1436
791,0.0136,0.1434
792,0.0136,0.1434
793,0.0136,0.1436
794,0.0136,0.144
795,0.0136,0.1436
796,0.0136,0.1436
797,0.0136,0.1436
798,0.0136,0.1438
799,0.0136,0.1438
800,0.0136,0.1438
801,0.0136,0.144
802,0.0136,0.1436
803,0.0136,0.144
804,0.0136,0.144
805,0.0136,0.1436
806,0.0136,0.1438
807,0.0136,0.1434
808,0.0136,0.1434
809,0.0136,0.1434
810,0.0136,0.1436
811,0.0136,0.1432
812,0.0136,0.1434
813,0.0136,0.1434
814,0.0136,0.1432
815,0.0136,0.1434
816,0.0136,0.1432
817,0.0136,0.1434
818,0.0136,0.1434
819,0.0136,0.1436
820,0.0136,0.1432
821,0.0136,0.1434
822,0.0136,0.1434
823,0.0136,0.1436
824,0.0136,0.1436
825,0.0136,0.1436
826,0.0136,0.1436
827,0.0136,0.1436
828,0.0136,0.1436
829,0.0136,0.1436
830,0.0136,0.1436
831,0.0136,0.1436
832,0.0136,0.1436
833,0.0136,0.1436
834,0.0136,0.1436
835,0.0136,0.1436
836,0.0136,0.1436
837,0.0136,0.1436
838,0.0136,0.1436
839,0.0136,0.1436
840,0.0136,0.1436
841,0.0136,0.1436
842,0.0136,0.1436
843,0.0136,0.1436
844,0.0136,0.1434
845,0.0136,0.1436
846,0.0136,0.1438
847,0.0136,0.1436
848,0.0136,0.1436
849,0.0136,0.1436
850,0.0136,0.1434
851,0.0136,0.1436
852,0.0136,0.1436
853,0.0136,0.1436
854,0.0136,0.1436
855,0.0136,0.1436
856,0.0136,0.1436
857,0.0136,0.1436
858,0.0136,0.1436
859,0.0136,0.1436
860,0.0136,0.1436
861,0.0136,0.1436
862,0.0136,0.1436
863,0.0136,0.1436
864,0.0136,0.1436
865,0.0136,0.1436
866,0.0136,0.1436
867,0.0136,0.1436
868,0.0136,0.1436
869,0.0136,0.1436
870,0.0136,0.1436
871,0.0136,0.1436
872,0.0136,0.1436
873,0.0136,0.1436
874,0.0136,0.1436
875,0.0136,0.1436
876,0.0136,0.1436
877,0.0136,0.1436
878,0.0136,0.1436
879,0.0136,0.1436
880,0.0136,0.1436
881,0.0136,0.1436
882,0.0136,0.1436
883,0.0136,0.1436
884,0.0136,0.1436
885,0.0136,0.1436
886,0.0136,0.1436
887,0.0136,0.1436
888,0.0136,0.1436
889,0.0136,0.1436
890,0.0136,0.1436
891,0.0136,0.1436
892,0.0136,0.1434
893,0.0136,0.1434
894,0.0136,0.1434
895,0.0136,0.1434
896,0.0136,0.1434
897,0.0136,0.1434
898,0.0136,0.1434
899,0.0136,0.1434
900,0.0136,0.1434
901,0.0136,0.1434
902,0.0136,0.1434
903,0.0136,0.1434
904,0.0136,0.1434
905,0.0136,0.1434
906,0.0136,0.1434
907,0.0136,0.1434
908,0.0136,0.1434
909,0.0136,0.1434
910,0.0136,0.1434
911,0.0136,0.1434
912,0.0136,0.1434
913,0.0136,0.1434
914,0.0136,0.1434
915,0.0136,0.1434
916,0.0136,0.1434
917,0.0136,0.1434
918,0.0136,0.1434
919,0.0136,0.1434
920,0.0136,0.1434
921,0.0136,0.1434
922,0.0136,0.1434
923,0.0136,0.1434
924,0.0136,0.1434
925,0.0136,0.1434
926,0.0136,0.1434
927,0.0136,0.1434
928,0.0136,0.1434
929,0.0136,0.1434
930,0.0136,0.1434
931,0.0136,0.1434
932,0.0136,0.1434
933,0.0136,0.1434
934,0.0136,0.1438
935,0.0136,0.1434
936,0.0136,0.1436
937,0.0136,0.1436
938,0.0136,0.1438
939,0.0136,0.1434
940,0.0136,0.1436
941,0.0136,0.1434
942,0.0136,0.1436
943,0.0136,0.1434
944,0.0136,0.1434
945,0.0136,0.1434
946,0.0136,0.1434
947,0.0136,0.1434
948,0.0136,0.1436
949,0.0136,0.1436
950,0.0136,0.1436
951,0.0136,0.1436
952,0.0136,0.1436
953,0.0136,0.1436
954,0.0136,0.1436
955,0.0136,0.1436
956,0.0136,0.1436
957,0.0136,0.1436
958,0.0136,0.1436
959,0.0136,0.1436
960,0.0136,0.1436
961,0.0136,0.1436
962,0.0136,0.1436
963,0.0136,0.1436
964,0.0136,0.1436
965,0.0136,0.1436
966,0.0136,0.1434
967,0.0136,0.1436
968,0.0136,0.1434
969,0.0136,0.1434
970,0.0136,0.1434
971,0.0136,0.1434
972,0.0136,0.1432
973,0.0136,0.1432
974,0.0136,0.1432
975,0.0136,0.1434
976,0.0136,0.1434
977,0.0136,0.1432
978,0.0136,0.1434
979,0.0136,0.1434
980,0.0136,0.1434
981,0.0136,0.1434
982,0.0136,0.1434
983,0.0136,0.1434
984,0.0136,0.1434
985,0.0136,0.1434
986,0.0136,0.1434
987,0.0136,0.1434
988,0.0136,0.1434
989,0.0136,0.1434
990,0.0136,0.1434
991,0.0136,0.1434
992,0.0136,0.1434
993,0.0136,0.1434
994,0.0136,0.1434
995,0.0136,0.1436
996,0.0136,0.1434
997,0.0136,0.1434
998,0.0136,0.1434
999,0.0136,0.1434
1000,0.0136,0.1434
