T(rees),Training Error,Testing Error
531,0.0136,0.1456
532,0.0136,0.1456
533,0.0136,0.1456
534,0.0136,0.1456
535,0.0136,0.1456
536,0.0136,0.1456
537,0.0136,0.1456
538,0.0136,0.1456
539,0.0136,0.1456
540,0.0136,0.1456
541,0.0136,0.1456
542,0.0136,0.1456
543,0.0136,0.1456
544,0.0136,0.1456
545,0.0136,0.1456
546,0.0136,0.1456
547,0.0136,0.1458
548,0.0136,0.1458
549,0.0136,0.1458
550,0.0136,0.1456
551,0.0136,0.1456
552,0.0136,0.1456
553,0.0136,0.1454
554,0.0136,0.1458
555,0.0136,0.1458
556,0.0136,0.1456
557,0.0136,0.1456
558,0.0136,0.1456
559,0.0136,0.1454
560,0.0136,0.1454
561,0.0136,0.1454
562,0.0136,0.1456
563,0.0136,0.1454
564,0.0136,0.1454
565,0.0136,0.1454
566,0.0136,0.1456
567,0.0136,0.1456
568,0.0136,0.1456
569,0.0136,0.1454
570,0.0136,0.1452
571,0.0136,0.1454
572,0.0136,0.1452
573,0.0136,0.1452
574,0.0136,0.1456
575,0.0136,0.1454
576,0.0136,0.1456
577,0.0136,0.1454
578,0.0136,0.1458
579,0.0136,0.1456
580,0.0136,0.1456
581,0.0136,0.1456
582,0.0136,0.1458
583,0.0136,0.1458
584,0.0136,0.1458
585,0.0136,0.1456
586,0.0136,0.1456
587,0.0136,0.1456
588,0.0136,0.1456
589,0.0136,0.1456
590,0.0136,0.1456
591,0.0136,0.1452
592,0.0136,0.1456
593,0.0136,0.145
594,0.0136,0.145
595,0.0136,0.1454
596,0.0136,0.145
597,0.0136,0.145
598,0.0136,0.1452
599,0.0136,0.1454
600,0.0136,0.1452
601,0.0136,0.1452
602,0.0136,0.1452
603,0.0136,0.1454
604,0.0136,0.1456
605,0.0136,0.1454
606,0.0136,0.1454
607,0.0136,0.1462
608,0.0136,0.146
609,0.0136,0.146
610,0.0136,0.146
611,0.0136,0.146
612,0.0136,0.146
613,0.0136,0.1458
614,0.0136,0.146
615,0.0136,0.146
616,0.0136,0.1462
617,0.0136,0.1458
618,0.0136,0.1462
619,0.0136,0.1462
620,0.0136,0.1458
621,0.0136,0.1458
622,0.0136,0.1458
623,0.0136,0.1458
624,0.0136,0.1458
625,0.0136,0.1456
626,0.0136,0.1458
627,0.0136,0.1456
628,0.0136,0.1458
629,0.0136,0.1456
630,0.0136,0.1456
631,0.0136,0.1456
632,0.0136,0.1456
633,0.0136,0.1456
634,0.0136,0.1456
635,0.0136,0.1456
636,0.0136,0.1458
637,0.0136,0.1454
638,0.0136,0.1456
639,0.0136,0.1452
640,0.0136,0.1454
641,0.0136,0.1452
642,0.0136,0.1454
643,0.0136,0.1454
644,0.0136,0.1454
645,0.0136,0.1454
646,0.0136,0.1454
647,0.0136,0.1454
648,0.0136,0.1454
649,0.0136,0.1454
650,0.0136,0.1454
651,0.0136,0.1456
652,0.0136,0.1456
653,0.0136,0.1456
654,0.0136,0.1456
655,0.0136,0.1454
656,0.0136,0.1452
657,0.0136,0.1454
658,0.0136,0.1454
659,0.0136,0.145
660,0.0136,0.1452
661,0.0136,0.145
662,0.0136,0.1454
663,0.0136,0.145
664,0.0136,0.1456
665,0.0136,0.1454
666,0.0136,0.1458
667,0.0136,0.1454
668,0.0136,0.1454
669,0.0136,0.145
670,0.0136,0.145
671,0.0136,0.145
672,0.0136,0.1452
673,0.0136,0.145
674,0.0136,0.1452
675,0.0136,0.1452
676,0.0136,0.1452
677,0.0136,0.1452
678,0.0136,0.1452
679,0.0136,0.1448
680,0.0136,0.145
681,0.0136,0.1452
682,0.0136,0.1454
683,0.0136,0.1452
684,0.0136,0.1454
685,0.0136,0.1454
686,0.0136,0.1452
687,0.0136,0.1452
688,0.0136,0.1454
689,0.0136,0.1452
690,0.0136,0.1454
691,0.0136,0.1452
692,0.0136,0.1454
693,0.0136,0.1458
694,0.0136,0.1456
695,0.0136,0.1452
696,0.0136,0.1456
697,0.0136,0.1452
698,0.0136,0.1456
699,0.0136,0.1452
700,0.0136,0.1454
701,0.0136,0.1454
702,0.0136,0.1456
703,0.0136,0.1452
704,0.0136,0.1454
705,0.0136,0.1452
706,0.0136,0.1452
707,0.0136,0.1452
708,0.0136,0.1454
709,0.0136,0.1452
710,0.0136,0.1454
711,0.0136,0.1456
712,0.0136,0.1456
713,0.0136,0.1456
714,0.0136,0.1456
715,0.0136,0.1454
716,0.0136,0.1456
717,0.0136,0.1456
718,0.0136,0.1456
719,0.0136,0.1454
720,0.0136,0.1456
721,0.0136,0.1456
722,0.0136,0.1456
723,0.0136,0.1452
724,0.0136,0.1454
725,0.0136,0.1452
726,0.0136,0.1456
727,0.0136,0.1454
728,0.0136,0.1456
729,0.0136,0.1454
730,0.0136,0.1454
731,0.0136,0.1452
732,0.0136,0.1454
733,0.0136,0.1452
734,0.0136,0.1452
735,0.0136,0.145
736,0.0136,0.145
737,0.0136,0.145
738,0.0136,0.1452
739,0.0136,0.1452
740,0.0136,0.1456
741,0.0136,0.145
742,0.0136,0.1452
743,0.0136,0.145
744,0.0136,0.145
745,0.0136,0.145
746,0.0136,0.1452
747,0.0136,0.1448
748,0.0136,0.1454
749,0.0136,0.1452
750,0.0136,0.1452
751,0.0136,0.1452
752,0.0136,0.1452
753,0.0136,0.1452
754,0.0136,0.1452
755,0.0136,0.145
756,0.0136,0.1454
757,0.0136,0.145
758,0.0136,0.145
759,0.0136,0.1446
760,0.0136,0.145
761,0.0136,0.145
762,0.0136,0.145
763,0.0136,0.1448
764,0.0136,0.145
765,0.0136,0.145
766,0.0136,0.145
767,0.0136,0.1448
768,0.0136,0.145
769,0.0136,0.145
770,0.0136,0.1454
771,0.0136,0.1452
772,0.0136,0.1452
773,0.0136,0.1454
774,0.0136,0.1454
775,0.0136,0.1454
776,0.0136,0.145
777,0.0136,0.145
778,0.0136,0.145
779,0.0136,0.1448
780,0.0136,0.1448
781,0.0136,0.1446
782,0.0136,0.1446
783,0.0136,0.1444
784,0.0136,0.1444
785,0.0136,0.1444
786,0.0136,0.1446
787,0.0136,0.1444
788,0.0136,0.1446
789,0.0136,0.1446
790,0.0136,0.1448
791,0.0136,0.1446
792,0.0136,0.1446
793,0.0136,0.1446
794,0.0136,0.1448
795,0.0136,0.1448
796,0.0136,0.1448
797,0.0136,0.1446
798,0.0136,0.1448
799,0.0136,0.1448
800,0.0136,0.1448
801,0.0136,0.1448
802,0.0136,0.1452
803,0.0136,0.145
804,0.0136,0.1452
805,0.0136,0.145
806,0.0136,0.1452
807,0.0136,0.1452
808,0.0136,0.145
809,0.0136,0.1448
810,0.0136,0.1448
811,0.0136,0.1448
812,0.0136,0.1448
813,0.0136,0.1448
814,0.0136,0.145
815,0.0136,0.1448
816,0.0136,0.1452
817,0.0136,0.145
818,0.0136,0.1452
819,0.0136,0.1452
820,0.0136,0.1452
821,0.0136,0.1454
822,0.0136,0.1454
823,0.0136,0.1454
824,0.0136,0.1448
825,0.0136,0.1452
826,0.0136,0.1452
827,0.0136,0.145
828,0.0136,0.1448
829,0.0136,0.1452
830,0.0136,0.1454
831,0.0136,0.1452
832,0.0136,0.1452
833,0.0136,0.1452
834,0.0136,0.1452
835,0.0136,0.145
836,0.0136,0.145
837,0.0136,0.145
838,0.0136,0.1452
839,0.0136,0.145
840,0.0136,0.1452
841,0.0136,0.1452
842,0.0136,0.1454
843,0.0136,0.1452
844,0.0136,0.1454
845,0.0136,0.145
846,0.0136,0.1448
847,0.0136,0.145
848,0.0136,0.145
849,0.0136,0.145
850,0.0136,0.145
851,0.0136,0.1446
852,0.0136,0.1444
853,0.0136,0.1446
854,0.0136,0.1446
855,0.0136,0.1446
856,0.0136,0.1446
857,0.0136,0.1446
858,0.0136,0.1448
859,0.0136,0.1446
860,0.0136,0.1448
861,0.0136,0.1446
862,0.0136,0.1448
863,0.0136,0.1446
864,0.0136,0.145
865,0.0136,0.145
866,0.0136,0.145
867,0.0136,0.145
868,0.0136,0.145
869,0.0136,0.145
870,0.0136,0.145
871,0.0136,0.1448
872,0.0136,0.145
873,0.0136,0.1448
874,0.0136,0.145
875,0.0136,0.1448
876,0.0136,0.1446
877,0.0136,0.1448
878,0.0136,0.1448
879,0.0136,0.1448
880,0.0136,0.1446
881,0.0136,0.1446
882,0.0136,0.1446
883,0.0136,0.1448
884,0.0136,0.1446
885,0.0136,0.1446
886,0.0136,0.1446
887,0.0136,0.1446
