Tree#,Training Error,Testing Error
599,0.0712,0.1674
600,0.0714,0.1806
601,0.0742,0.167
602,0.0634,0.172
603,0.0664,0.1748
604,0.0649999999999999,0.1676
605,0.0688,0.1736
606,0.0614,0.1662
607,0.0684,0.1604
608,0.07,0.1666
609,0.0728,0.1718
610,0.0726,0.1664
611,0.0694,0.1658
612,0.0696,0.1642
613,0.0668,0.168
614,0.0642,0.1696
615,0.0620000000000001,0.1784
616,0.0718,0.1712
617,0.0668,0.1694
618,0.0714,0.172
619,0.0674,0.1738
620,0.073,0.1666
621,0.0698,0.1742
622,0.0682,0.1648
623,0.0676,0.1738
624,0.0654,0.1642
625,0.0714,0.1654
626,0.0652,0.1668
627,0.0679999999999999,0.1734
628,0.071,0.169
629,0.0672,0.1658
630,0.0696,0.1726
631,0.0692,0.1698
632,0.07,0.17
633,0.072,0.1668
634,0.0649999999999999,0.1694
635,0.0698,0.1794
636,0.0659999999999999,0.1796
637,0.0656,0.1632
638,0.0679999999999999,0.1644
639,0.0716,0.1592
640,0.0698,0.1798
641,0.0686,0.1634
642,0.0668,0.1618
643,0.0682,0.1674
644,0.0678,0.1688
645,0.0704,0.1652
646,0.0726,0.155
647,0.0664,0.1672
648,0.0676,0.1636
649,0.0698,0.1726
650,0.0669999999999999,0.169
651,0.0684,0.1682
652,0.0656,0.1636
653,0.0658,0.1752
654,0.0649999999999999,0.1702
655,0.0728,0.1682
656,0.0666,0.165
657,0.0674,0.1756
658,0.0658,0.1702
659,0.0686,0.1606
660,0.0674,0.1626
661,0.0678,0.1636
662,0.071,0.165
663,0.0646,0.1648
664,0.0688,0.1706
665,0.0672,0.164
666,0.0664,0.1694
667,0.0679999999999999,0.1672
668,0.07,0.1698
669,0.0702,0.1698
670,0.0672,0.1568
671,0.0672,0.1708
672,0.0679999999999999,0.1558
673,0.0624,0.1646
674,0.073,0.1734
675,0.0648,0.1724
676,0.0666,0.1714
677,0.0666,0.167
678,0.0692,0.1662
679,0.0692,0.1598
680,0.0702,0.1698
681,0.0672,0.1704
682,0.0678,0.163
683,0.0672,0.1648
684,0.0644,0.1718
685,0.0692,0.1834
686,0.0672,0.1698
687,0.0678,0.1772
688,0.0706,0.1686
689,0.0742,0.1722
690,0.069,0.1698
691,0.0604,0.1632
692,0.0694,0.1572
693,0.0658,0.1766
694,0.0679999999999999,0.1618
695,0.0648,0.166
696,0.0674,0.1676
697,0.0676,0.1596
698,0.0682,0.1616
699,0.0738,0.169
700,0.0682,0.166
701,0.0658,0.1704
702,0.071,0.1724
703,0.0672,0.1678
704,0.0716,0.167
