Tree#,Training Error,Testing Error
577,0.0704,0.176
578,0.0712,0.1848
579,0.0639999999999999,0.1638
580,0.0662,0.1702
581,0.0708,0.1764
582,0.0682,0.1666
583,0.0722,0.1732
584,0.0708,0.176
585,0.0676,0.1566
586,0.0736,0.19
587,0.0696,0.1724
588,0.0674,0.1694
589,0.0679999999999999,0.1732
590,0.0659999999999999,0.172
591,0.0658,0.1676
592,0.071,0.1716
593,0.072,0.179
594,0.0734,0.177
595,0.0734,0.1802
596,0.0639999999999999,0.1664
597,0.0616,0.1638
598,0.0702,0.1732
599,0.08,0.1846
600,0.0734,0.1826
601,0.0654,0.1688
602,0.0672,0.1784
603,0.0702,0.1704
604,0.0708,0.181
605,0.069,0.1806
606,0.0656,0.158
607,0.07,0.1686
608,0.0744,0.1702
609,0.0758,0.18
610,0.0702,0.1666
611,0.0688,0.1728
612,0.0702,0.166
613,0.0678,0.1746
614,0.0714,0.1864
615,0.0668,0.1794
616,0.0764,0.1828
617,0.0678,0.1816
618,0.0694,0.1716
619,0.07,0.1786
620,0.0682,0.1754
621,0.0666,0.1732
622,0.0712,0.1638
623,0.0679999999999999,0.1602
624,0.0666,0.166
625,0.0726,0.1762
626,0.0654,0.169
627,0.0658,0.164
628,0.07,0.1698
629,0.0639999999999999,0.166
630,0.075,0.1812
631,0.0732,0.1658
632,0.0694,0.1706
633,0.0742,0.1756
634,0.0669999999999999,0.1642
635,0.0654,0.1716
636,0.0708,0.1792
637,0.0764,0.1724
638,0.074,0.1726
639,0.075,0.1794
640,0.0664,0.1686
641,0.0718,0.1678
642,0.069,0.1792
643,0.0698,0.1772
644,0.0654,0.165
645,0.0652,0.1626
646,0.0624,0.172
647,0.0736,0.1676
648,0.0668,0.1706
649,0.0688,0.1686
650,0.0678,0.1756
651,0.0696,0.1586
652,0.0668,0.1668
653,0.072,0.171
654,0.0714,0.178
655,0.0692,0.178
656,0.0736,0.1796
657,0.0714,0.1756
658,0.0714,0.172
659,0.0666,0.173
660,0.0712,0.1764
661,0.0742,0.169
662,0.0722,0.1794
663,0.0679999999999999,0.1616
664,0.0694,0.1716
665,0.0652,0.165
666,0.0698,0.1704
667,0.0612,0.1676
668,0.07,0.1782
669,0.0712,0.1748
670,0.0694,0.1752
671,0.0694,0.1622
672,0.0682,0.1768
673,0.0702,0.1796
674,0.0656,0.1756
675,0.0682,0.1758
676,0.0698,0.1782
677,0.0688,0.17
678,0.069,0.172
679,0.0649999999999999,0.1606
680,0.0682,0.174
681,0.0696,0.1786
682,0.075,0.171
683,0.0648,0.1814
684,0.0694,0.1844
685,0.0684,0.17
686,0.0634,0.1676
687,0.072,0.1812
688,0.071,0.172
689,0.0694,0.174
690,0.0672,0.1672
691,0.0652,0.1716
692,0.0742,0.1748
693,0.0666,0.176
694,0.0696,0.1664
695,0.0624,0.1572
696,0.0684,0.1712
697,0.0682,0.1672
698,0.0732,0.1782
699,0.0662,0.175
700,0.0659999999999999,0.1772
701,0.0668,0.171
702,0.0649999999999999,0.1786
703,0.0754,0.175
704,0.0704,0.165
705,0.0678,0.1772
706,0.0718,0.1644
707,0.0694,0.1766
708,0.0674,0.1844
709,0.0658,0.18
710,0.0716,0.1678
711,0.0702,0.172
712,0.0728,0.177
713,0.0692,0.175
714,0.0684,0.172
715,0.0628,0.1738
716,0.0676,0.1776
717,0.0718,0.1798
718,0.0712,0.1836
719,0.0708,0.1812
720,0.0648,0.168
721,0.0724,0.1704
722,0.071,0.1706
723,0.0726,0.1778
724,0.0679999999999999,0.1732
725,0.0684,0.1634
726,0.0679999999999999,0.1702
727,0.0694,0.1748
728,0.07,0.1714
729,0.0668,0.1754
730,0.0668,0.175
731,0.0684,0.172
732,0.07,0.1724
733,0.0704,0.1662
734,0.0666,0.1798
735,0.0652,0.1672
736,0.0634,0.1704
737,0.0679999999999999,0.1724
738,0.073,0.1718
739,0.0682,0.1666
740,0.0662,0.1686
741,0.07,0.1844
742,0.0682,0.1646
743,0.075,0.162
744,0.0692,0.1748
745,0.0708,0.1762
746,0.0738,0.1642
747,0.0696,0.167
748,0.0678,0.168
749,0.0656,0.1676
750,0.0724,0.1732
751,0.069,0.1762
752,0.0698,0.177
753,0.0702,0.1674
754,0.0696,0.1712
755,0.0682,0.181
756,0.0658,0.1682
757,0.0669999999999999,0.1674
758,0.0608,0.1648
759,0.0662,0.1648
760,0.0636,0.1674
761,0.07,0.1722
762,0.0686,0.1604
763,0.0696,0.1732
764,0.0692,0.169
765,0.0678,0.167
766,0.0688,0.1862
767,0.069,0.1714
768,0.0686,0.1692
769,0.0702,0.1758
770,0.0669999999999999,0.1732
771,0.0688,0.1692
772,0.073,0.1842
773,0.0666,0.1812
774,0.0704,0.1748
775,0.0658,0.166
776,0.0649999999999999,0.1642
777,0.0654,0.1582
778,0.07,0.1678
779,0.073,0.1846
780,0.0676,0.1816
781,0.0682,0.171
782,0.0696,0.1738
783,0.0688,0.182
784,0.0656,0.1698
785,0.0712,0.189
786,0.0716,0.1816
787,0.0714,0.1666
788,0.0736,0.169
789,0.0662,0.1706
790,0.0704,0.1748
791,0.069,0.1774
792,0.0694,0.1644
793,0.0682,0.1698
794,0.0698,0.173
795,0.0728,0.1644
796,0.0716,0.1868
797,0.0732,0.1758
798,0.0652,0.1618
799,0.0644,0.167
800,0.0706,0.166
801,0.0634,0.1666
802,0.0669999999999999,0.1626
803,0.071,0.1776
804,0.0738,0.1814
805,0.0676,0.1814
806,0.0694,0.1758
807,0.0684,0.1664
808,0.0620000000000001,0.1658
809,0.0692,0.1778
810,0.0620000000000001,0.1706
811,0.0698,0.1764
812,0.0676,0.1704
813,0.0669999999999999,0.1686
814,0.0682,0.1664
815,0.0728,0.1814
816,0.073,0.178
817,0.0718,0.1728
818,0.0656,0.1632
819,0.0682,0.1718
820,0.0704,0.1762
821,0.0744,0.1724
822,0.0778,0.1712
823,0.0698,0.1676
824,0.0684,0.1706
825,0.0708,0.1734
826,0.0679999999999999,0.1766
827,0.071,0.1764
828,0.0688,0.1638
829,0.0726,0.1668
830,0.0656,0.1694
831,0.0698,0.166
832,0.0668,0.17
833,0.0726,0.1614
834,0.0764,0.1708
835,0.0662,0.1678
836,0.0684,0.1758
837,0.0716,0.164
838,0.0644,0.1722
839,0.0649999999999999,0.179
840,0.0716,0.1786
841,0.0694,0.1776
842,0.0658,0.1676
843,0.0736,0.1632
844,0.0674,0.1748
845,0.0714,0.1746
846,0.0664,0.1838
847,0.0768,0.1804
848,0.0724,0.164
849,0.0718,0.171
850,0.0694,0.1784
851,0.071,0.1748
852,0.0726,0.171
853,0.0692,0.1678
854,0.0676,0.1748
855,0.0662,0.1612
856,0.0692,0.176
857,0.0666,0.166
858,0.0702,0.1786
859,0.0629999999999999,0.1696
860,0.0628,0.1668
861,0.0742,0.1792
862,0.0712,0.1712
863,0.0736,0.182
864,0.0712,0.1698
865,0.0638,0.1612
866,0.0678,0.1724
867,0.0646,0.1642
868,0.0676,0.1678
869,0.0732,0.1632
870,0.0652,0.1652
871,0.0682,0.1674
872,0.0722,0.1716
873,0.0752,0.1626
874,0.073,0.179
